ensembl_gene_id	go_id
ENSCABG00000000100	GO:0043066
ENSCABG00000000100	GO:0060216
ENSCABG00000000100	GO:0060339
ENSCABG00000000100	GO:0061484
ENSCABG00000000100	GO:1900369
ENSCABG00000000100	GO:0006382
ENSCABG00000000100	GO:0009615
ENSCABG00000000100	GO:0016553
ENSCABG00000000100	GO:0031054
ENSCABG00000000100	GO:0035280
ENSCABG00000000100	GO:0035455
ENSCABG00000000100	GO:0044387
ENSCABG00000000100	GO:0045070
ENSCABG00000000100	GO:0098586
ENSCABG00000000100	GO:0005730
ENSCABG00000000100	GO:0044530
ENSCABG00000000101	GO:0005524
ENSCABG00000000101	GO:0006468
ENSCABG00000000101	GO:0004672
ENSCABG00000000101	GO:0005515
ENSCABG00000000101	GO:0002027
ENSCABG00000000101	GO:1903779
ENSCABG00000000102	GO:0007264
ENSCABG00000000102	GO:0005085
ENSCABG00000000103	GO:0005509
ENSCABG00000000103	GO:0005515
ENSCABG00000000103	GO:0043235
ENSCABG00000000103	GO:0030229
ENSCABG00000000103	GO:0006897
ENSCABG00000000103	GO:0005901
ENSCABG00000000106	GO:0005515
ENSCABG00000000106	GO:0005654
ENSCABG00000000106	GO:0005829
ENSCABG00000000106	GO:0005886
ENSCABG00000000106	GO:0005737
ENSCABG00000000106	GO:0008285
ENSCABG00000000107	GO:0016021
ENSCABG00000000107	GO:0004930
ENSCABG00000000107	GO:0007186
ENSCABG00000000107	GO:0004984
ENSCABG00000000110	GO:0005654
ENSCABG00000000110	GO:0005829
ENSCABG00000000110	GO:0005737
ENSCABG00000000110	GO:0030155
ENSCABG00000000110	GO:0005938
ENSCABG00000000111	GO:0016021
ENSCABG00000000111	GO:0004930
ENSCABG00000000111	GO:0007186
ENSCABG00000000111	GO:0004984
ENSCABG00000000112	GO:0004129
ENSCABG00000000115	GO:0005737
ENSCABG00000000115	GO:0120009
ENSCABG00000000115	GO:0120013
ENSCABG00000000116	GO:0007601
ENSCABG00000000116	GO:0048038
ENSCABG00000000116	GO:0009308
ENSCABG00000000116	GO:0005507
ENSCABG00000000116	GO:0008131
ENSCABG00000000116	GO:0055114
ENSCABG00000000117	GO:0005634
ENSCABG00000000117	GO:2000270
ENSCABG00000000117	GO:0017134
ENSCABG00000000117	GO:0043066
ENSCABG00000000117	GO:0005681
ENSCABG00000000117	GO:0016607
ENSCABG00000000118	GO:0032580
ENSCABG00000000118	GO:0008376
ENSCABG00000000118	GO:0050650
ENSCABG00000000118	GO:0030166
ENSCABG00000000118	GO:0050651
ENSCABG00000000119	GO:0016021
ENSCABG00000000119	GO:0004930
ENSCABG00000000119	GO:0007186
ENSCABG00000000121	GO:0005515
ENSCABG00000000122	GO:0035091
ENSCABG00000000122	GO:0030316
ENSCABG00000000122	GO:0005634
ENSCABG00000000122	GO:0001696
ENSCABG00000000122	GO:0006897
ENSCABG00000000122	GO:0030282
ENSCABG00000000122	GO:0044691
ENSCABG00000000122	GO:0045453
ENSCABG00000000122	GO:0055074
ENSCABG00000000122	GO:0097178
ENSCABG00000000122	GO:1990830
ENSCABG00000000122	GO:0005813
ENSCABG00000000122	GO:0005545
ENSCABG00000000122	GO:0051117
ENSCABG00000000122	GO:0007032
ENSCABG00000000122	GO:0060271
ENSCABG00000000122	GO:0061512
ENSCABG00000000122	GO:0071539
ENSCABG00000000122	GO:0005783
ENSCABG00000000122	GO:0030141
ENSCABG00000000122	GO:0031313
ENSCABG00000000122	GO:0090651
ENSCABG00000000123	GO:0005737
ENSCABG00000000123	GO:0120009
ENSCABG00000000123	GO:0120013
ENSCABG00000000123	GO:0005829
ENSCABG00000000123	GO:0005543
ENSCABG00000000123	GO:1902387
ENSCABG00000000123	GO:1902388
ENSCABG00000000123	GO:0010507
ENSCABG00000000123	GO:0050713
ENSCABG00000000123	GO:1900226
ENSCABG00000000123	GO:1902389
ENSCABG00000000124	GO:0008270
ENSCABG00000000124	GO:0005515
ENSCABG00000000125	GO:0003676
ENSCABG00000000126	GO:0006406
ENSCABG00000000126	GO:0000776
ENSCABG00000000126	GO:0031080
ENSCABG00000000126	GO:0017056
ENSCABG00000000126	GO:0072006
ENSCABG00000000126	GO:0005643
ENSCABG00000000127	GO:0003899
ENSCABG00000000127	GO:0006351
ENSCABG00000000127	GO:0046983
ENSCABG00000000127	GO:0003677
ENSCABG00000000128	GO:0005654
ENSCABG00000000128	GO:0003682
ENSCABG00000000128	GO:0045814
ENSCABG00000000128	GO:0045869
ENSCABG00000000128	GO:0090309
ENSCABG00000000128	GO:0097355
ENSCABG00000000128	GO:0000792
ENSCABG00000000129	GO:0016286
ENSCABG00000000129	GO:0006813
ENSCABG00000000129	GO:0015269
ENSCABG00000000129	GO:0005516
ENSCABG00000000129	GO:0016021
ENSCABG00000000129	GO:0005886
ENSCABG00000000129	GO:0005737
ENSCABG00000000132	GO:0004713
ENSCABG00000000132	GO:0005509
ENSCABG00000000132	GO:0007156
ENSCABG00000000132	GO:0005524
ENSCABG00000000132	GO:0006468
ENSCABG00000000132	GO:0004672
ENSCABG00000000132	GO:0016020
ENSCABG00000000132	GO:0001755
ENSCABG00000000132	GO:0045893
ENSCABG00000000132	GO:0005887
ENSCABG00000000132	GO:0005886
ENSCABG00000000132	GO:0000165
ENSCABG00000000132	GO:0001657
ENSCABG00000000132	GO:0001838
ENSCABG00000000132	GO:0007169
ENSCABG00000000132	GO:0007399
ENSCABG00000000132	GO:0010628
ENSCABG00000000132	GO:0030182
ENSCABG00000000132	GO:0033141
ENSCABG00000000132	GO:0035799
ENSCABG00000000132	GO:0042551
ENSCABG00000000132	GO:0045793
ENSCABG00000000132	GO:0048484
ENSCABG00000000132	GO:0050770
ENSCABG00000000132	GO:0004714
ENSCABG00000000132	GO:0000187
ENSCABG00000000132	GO:0007158
ENSCABG00000000132	GO:0010976
ENSCABG00000000132	GO:0030155
ENSCABG00000000132	GO:0030335
ENSCABG00000000132	GO:0033619
ENSCABG00000000132	GO:0033630
ENSCABG00000000132	GO:0035860
ENSCABG00000000132	GO:0043410
ENSCABG00000000132	GO:0048265
ENSCABG00000000132	GO:0051897
ENSCABG00000000132	GO:0061146
ENSCABG00000000132	GO:0071300
ENSCABG00000000132	GO:0072300
ENSCABG00000000132	GO:0010008
ENSCABG00000000132	GO:0043235
ENSCABG00000000132	GO:0098797
ENSCABG00000000133	GO:0021554
ENSCABG00000000133	GO:0005739
ENSCABG00000000134	GO:0005515
ENSCABG00000000135	GO:0032418
ENSCABG00000000135	GO:0048813
ENSCABG00000000135	GO:0005764
ENSCABG00000000135	GO:0005765
ENSCABG00000000135	GO:0005768
ENSCABG00000000136	GO:0005719
ENSCABG00000000136	GO:0045892
ENSCABG00000000136	GO:0005634
ENSCABG00000000136	GO:0019899
ENSCABG00000000136	GO:0042802
ENSCABG00000000136	GO:0019904
ENSCABG00000000136	GO:1990226
ENSCABG00000000136	GO:0006974
ENSCABG00000000136	GO:0000775
ENSCABG00000000136	GO:0000785
ENSCABG00000000136	GO:0005720
ENSCABG00000000136	GO:0005819
ENSCABG00000000136	GO:0090734
ENSCABG00000000137	GO:0016021
ENSCABG00000000137	GO:0004930
ENSCABG00000000137	GO:0007186
ENSCABG00000000137	GO:0050916
ENSCABG00000000137	GO:0008527
ENSCABG00000000137	GO:0033041
ENSCABG00000000137	GO:0001582
ENSCABG00000000137	GO:0050917
ENSCABG00000000137	GO:1903767
ENSCABG00000000138	GO:0005975
ENSCABG00000000138	GO:0008107
ENSCABG00000000138	GO:0016020
ENSCABG00000000139	GO:0005525
ENSCABG00000000139	GO:0003924
ENSCABG00000000139	GO:0007165
ENSCABG00000000139	GO:0016020
ENSCABG00000000141	GO:0005576
ENSCABG00000000141	GO:0006952
ENSCABG00000000144	GO:0007264
ENSCABG00000000144	GO:0005085
ENSCABG00000000145	GO:0016776
ENSCABG00000000145	GO:0004017
ENSCABG00000000145	GO:0005739
ENSCABG00000000145	GO:0006139
ENSCABG00000000145	GO:0019205
ENSCABG00000000145	GO:0005524
ENSCABG00000000145	GO:0046899
ENSCABG00000000145	GO:0046033
ENSCABG00000000145	GO:0046039
ENSCABG00000000145	GO:0046041
ENSCABG00000000145	GO:0046051
ENSCABG00000000145	GO:0005759
ENSCABG00000000146	GO:0031282
ENSCABG00000000146	GO:0008048
ENSCABG00000000146	GO:0005509
ENSCABG00000000146	GO:0007601
ENSCABG00000000148	GO:0009435
ENSCABG00000000148	GO:0004514
ENSCABG00000000148	GO:0003824
ENSCABG00000000148	GO:0045944
ENSCABG00000000148	GO:0042802
ENSCABG00000000148	GO:0005737
ENSCABG00000000148	GO:0030054
ENSCABG00000000148	GO:0016607
ENSCABG00000000148	GO:0047280
ENSCABG00000000148	GO:0007623
ENSCABG00000000148	GO:0032922
ENSCABG00000000148	GO:0051770
ENSCABG00000000149	GO:0002020
ENSCABG00000000149	GO:0070513
ENSCABG00000000149	GO:0042981
ENSCABG00000000149	GO:0005634
ENSCABG00000000149	GO:0005737
ENSCABG00000000149	GO:0006919
ENSCABG00000000149	GO:2001235
ENSCABG00000000149	GO:0030674
ENSCABG00000000149	GO:0006977
ENSCABG00000000149	GO:0043065
ENSCABG00000000149	GO:0071260
ENSCABG00000000149	GO:0097190
ENSCABG00000000150	GO:0005576
ENSCABG00000000150	GO:0006952
ENSCABG00000000151	GO:0005886
ENSCABG00000000151	GO:0001659
ENSCABG00000000151	GO:0031651
ENSCABG00000000151	GO:0043588
ENSCABG00000000151	GO:0060613
ENSCABG00000000151	GO:0071878
ENSCABG00000000151	GO:0090327
ENSCABG00000000151	GO:0031699
ENSCABG00000000151	GO:0051443
ENSCABG00000000151	GO:0120163
ENSCABG00000000151	GO:0005768
ENSCABG00000000152	GO:0000278
ENSCABG00000000152	GO:0004715
ENSCABG00000000152	GO:0000287
ENSCABG00000000152	GO:0005524
ENSCABG00000000152	GO:0006468
ENSCABG00000000152	GO:0004672
ENSCABG00000000152	GO:0005634
ENSCABG00000000152	GO:0005654
ENSCABG00000000152	GO:0005737
ENSCABG00000000152	GO:0007143
ENSCABG00000000152	GO:0035038
ENSCABG00000000152	GO:0042327
ENSCABG00000000152	GO:0045736
ENSCABG00000000152	GO:0060631
ENSCABG00000000152	GO:0080154
ENSCABG00000000152	GO:1900194
ENSCABG00000000153	GO:0008537
ENSCABG00000000153	GO:0005654
ENSCABG00000000153	GO:0042802
ENSCABG00000000153	GO:0005829
ENSCABG00000000153	GO:0002039
ENSCABG00000000153	GO:0061133
ENSCABG00000000153	GO:0097371
ENSCABG00000000153	GO:0061136
ENSCABG00000000153	GO:2001237
ENSCABG00000000154	GO:0003676
ENSCABG00000000155	GO:0006406
ENSCABG00000000155	GO:0006397
ENSCABG00000000155	GO:0003676
ENSCABG00000000155	GO:0005654
ENSCABG00000000155	GO:0005634
ENSCABG00000000155	GO:0005737
ENSCABG00000000155	GO:0000122
ENSCABG00000000155	GO:0048025
ENSCABG00000000155	GO:0003723
ENSCABG00000000155	GO:0003730
ENSCABG00000000155	GO:0035198
ENSCABG00000000155	GO:0043047
ENSCABG00000000155	GO:0097157
ENSCABG00000000155	GO:1990247
ENSCABG00000000155	GO:0000398
ENSCABG00000000155	GO:0031053
ENSCABG00000000155	GO:0050658
ENSCABG00000000155	GO:1990428
ENSCABG00000000155	GO:0005681
ENSCABG00000000155	GO:0070062
ENSCABG00000000155	GO:0071013
ENSCABG00000000155	GO:1990904
ENSCABG00000000156	GO:0007623
ENSCABG00000000156	GO:0006366
ENSCABG00000000156	GO:0006351
ENSCABG00000000156	GO:0006955
ENSCABG00000000156	GO:0005634
ENSCABG00000000156	GO:0003700
ENSCABG00000000156	GO:0006355
ENSCABG00000000157	GO:0090026
ENSCABG00000000157	GO:0006955
ENSCABG00000000157	GO:0016493
ENSCABG00000000157	GO:0006954
ENSCABG00000000157	GO:0006935
ENSCABG00000000157	GO:0004950
ENSCABG00000000157	GO:0016021
ENSCABG00000000157	GO:0004930
ENSCABG00000000157	GO:0007186
ENSCABG00000000158	GO:0005515
ENSCABG00000000158	GO:0005829
ENSCABG00000000158	GO:0005737
ENSCABG00000000158	GO:0005886
ENSCABG00000000158	GO:0030041
ENSCABG00000000158	GO:0044782
ENSCABG00000000158	GO:0015629
ENSCABG00000000159	GO:0005576
ENSCABG00000000159	GO:0006952
ENSCABG00000000163	GO:0005576
ENSCABG00000000163	GO:0006952
ENSCABG00000000164	GO:0008021
ENSCABG00000000164	GO:0016020
ENSCABG00000000165	GO:0046426
ENSCABG00000000165	GO:0001558
ENSCABG00000000165	GO:0008269
ENSCABG00000000165	GO:0005159
ENSCABG00000000165	GO:0005737
ENSCABG00000000165	GO:0035556
ENSCABG00000000165	GO:0007595
ENSCABG00000000165	GO:0040014
ENSCABG00000000165	GO:0040015
ENSCABG00000000165	GO:0045666
ENSCABG00000000165	GO:0060749
ENSCABG00000000165	GO:0005131
ENSCABG00000000165	GO:0032355
ENSCABG00000000165	GO:0032870
ENSCABG00000000165	GO:0060396
ENSCABG00000000168	GO:0005576
ENSCABG00000000168	GO:0006952
ENSCABG00000000169	GO:0004715
ENSCABG00000000169	GO:0004713
ENSCABG00000000169	GO:0005737
ENSCABG00000000169	GO:0035556
ENSCABG00000000169	GO:0005524
ENSCABG00000000169	GO:0006468
ENSCABG00000000169	GO:0004672
ENSCABG00000000169	GO:0045121
ENSCABG00000000169	GO:0001784
ENSCABG00000000169	GO:0006955
ENSCABG00000000169	GO:0018108
ENSCABG00000000169	GO:0045059
ENSCABG00000000169	GO:0045582
ENSCABG00000000169	GO:0005886
ENSCABG00000000169	GO:0042101
ENSCABG00000000170	GO:0005886
ENSCABG00000000170	GO:0005739
ENSCABG00000000170	GO:0005762
ENSCABG00000000170	GO:0005763
ENSCABG00000000173	GO:0034773
ENSCABG00000000173	GO:0042799
ENSCABG00000000173	GO:0005515
ENSCABG00000000173	GO:0005654
ENSCABG00000000173	GO:0003682
ENSCABG00000000173	GO:0016571
ENSCABG00000000173	GO:0042393
ENSCABG00000000173	GO:1904047
ENSCABG00000000173	GO:0006281
ENSCABG00000000173	GO:0045830
ENSCABG00000000173	GO:2001034
ENSCABG00000000173	GO:0000780
